# FIELDS: tokenid	parserid	token	lemma	pos	entity	head	deprel
1	1	Signor	signore	S	O	8	vocative
2	2	Presidente	presidente	S	O	1	compound
3	3	,	[PUNCT]	FF	O	1	punct
4	4	onorevoli	onorevole	S	O	8	nsubj
5	5	parlamentari	parlamentare	A	O	4	amod
6	6	,	[PUNCT]	FF	O	4	punct
7	7	innanzitutto	innanzitutto	B	O	8	advmod
8	8	terrei	tenere	V	O	0	root
9	9	a	a	E	O	10	mark
10	10	ricordare	ricordare	V	O	8	xcomp
11	11	che	che	CS	O	19	mark
12	12	gli	il	RD	O	13	det
13	13	Stati	Stati	SP	O	19	nsubj
14	14	membri	membro	S	O	13	nmod
15	15	dell'	dell'	E+RD	O	16	case
16	16	Unione	Unione	SP	LOC	14	nmod
17	17	europea	europea	SP	LOC	16	name
18	18	hanno	avere	VA	O	19	aux
19	19	svolto	svolgere	V	O	10	advcl
20	20	un	un	RI	O	21	det
21	21	ruolo	ruolo	S	O	19	dobj
22	22	molto	molto	B	O	23	advmod
23	23	importante	importante	A	O	21	amod
24	24	alla	alla	E+RD	O	25	case
25	25	Conferenza	Conferenza	SP	O	21	nmod
26	26	di	di	E	O	27	case
27	27	Pechino	Pechino	SP	LOC	25	nmod
28	28	del	del	E+RD	O	29	case
29	29	1995	1995	N	O	25	nummod
30	30	e	e	CC	O	21	cc
31	31	nell'	nell'	E+RD	O	32	case
32	32	elaborazione	elaborazione	S	O	21	conj
33	33	del	del	E+RD	O	35	case
34	34	relativo	relativo	A	O	35	amod
35	35	progetto	progetto	S	O	32	nmod
36	36	d'	da	E	O	37	case
37	37	azione	azione	S	O	35	nmod
38	38	.	[PUNCT]	FS	O	8	punct

39	1	In	in	E	O	2	case
40	2	seguito	seguito	S	O	17	nmod
41	3	all'	all'	E+RD	O	4	case
42	4	adozione	adozione	S	O	2	nmod
43	5	di	di	E	O	7	case
44	6	tale	tale	DD	O	7	det
45	7	progetto	progetto	S	O	4	nmod
46	8	le	la	RD	O	9	det
47	9	Istituzioni	istituzione	S	O	17	nsubj
48	10	europee	europeo	A	O	9	amod
49	11	e	e	CC	O	9	cc
50	12	gli	il	RD	O	13	det
51	13	Stati	stato	S	O	9	conj
52	14	membri	membro	S	O	13	compound
53	15	si	si	PC	O	17	expl
54	16	sono	essere	VA	O	17	aux
55	17	occupati	occupare	V	O	0	root
56	18	attivamente	attivamente	B	O	17	advmod
